province,year,inflow_10k_cny,outflow_10k_cny,net_inflow_10k_cny,inflow_method,outflow_method,inflow_sources,outflow_sources,verified_inflow_lower_bound_10k_cny,verified_outflow_lower_bound_10k_cny,outflow_mixed_upper_bound_10k_cny,observed_directions,coverage_status,analysis_ready_complete_case
湖北,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖南,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖南,2019,,1080.0,,missing_not_zero,sum_verified_bilateral_actual_events,,hunan_2022_crossprovince_payments,0.0,1080.0,,1,one_direction_observed,no
湖南,2020,,1680.0,,missing_not_zero,sum_verified_bilateral_actual_events,,hunan_2022_crossprovince_payments,0.0,1680.0,,1,one_direction_observed,no
湖南,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖南,2022,,480.0,,missing_not_zero,sum_verified_bilateral_actual_events,,chongqing_youshui_2022_payment,0.0,480.0,,1,one_direction_observed,no
湖南,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖南,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,2000.0,0,missing_not_zero,no
重庆,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
重庆,2019,480.0,,,sum_verified_bilateral_actual_events,missing_not_zero,hunan_2022_crossprovince_payments,,480.0,0.0,,1,one_direction_observed,no
重庆,2020,480.0,,,sum_verified_bilateral_actual_events,missing_not_zero,hunan_2022_crossprovince_payments,,480.0,0.0,,1,one_direction_observed,no
重庆,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
重庆,2022,480.0,,,sum_verified_bilateral_actual_events,missing_not_zero,chongqing_youshui_2022_payment,,480.0,0.0,,1,one_direction_observed,no
重庆,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
重庆,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
四川,2018,,2000.0,,missing_not_zero,sum_verified_bilateral_actual_events,,mof_yunnan_chishui_2018_settlement,0.0,2000.0,,1,one_direction_observed,no
四川,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
四川,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
四川,2021,,3000.0,,missing_not_zero,sum_verified_bilateral_actual_events,,sichuan_2022_accounts_chishui_2021,0.0,3000.0,,1,one_direction_observed,no
四川,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
四川,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
四川,2024,1667.0,2550.0,-883.0,provincial_final_account_total,provincial_final_account_total,sichuan_2024_final_accounts,sichuan_2024_final_accounts,0.0,0.0,,2,both_directions_observed,yes
云南,2018,4000.0,2000.0,2000.0,sum_verified_bilateral_actual_events,derived_fixed_schedule_actual,mof_yunnan_chishui_2018_settlement,ndrc_yunnan_chishui_2018_2020,4000.0,0.0,,2,both_directions_observed,yes
云南,2019,,2000.0,,missing_not_zero,derived_fixed_schedule_actual,,ndrc_yunnan_chishui_2018_2020,0.0,0.0,,1,one_direction_observed,no
云南,2020,,2000.0,,missing_not_zero,derived_fixed_schedule_actual,,ndrc_yunnan_chishui_2018_2020,0.0,0.0,,1,one_direction_observed,no
云南,2021,3000.0,,,sum_verified_bilateral_actual_events,missing_not_zero,sichuan_2022_accounts_chishui_2021,,3000.0,0.0,,1,one_direction_observed,no
云南,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
云南,2023,2550.0,,,sum_verified_bilateral_actual_events,missing_not_zero,guizhou_2023_chishui_payment,,2550.0,0.0,,1,one_direction_observed,no
云南,2024,3000.0,,,sum_verified_bilateral_actual_events,missing_not_zero,guizhou_2024_chishui_decision,,3000.0,0.0,,1,one_direction_observed,no
贵州,2018,,2000.0,,missing_not_zero,sum_verified_bilateral_actual_events,,mof_yunnan_chishui_2018_settlement,0.0,2000.0,,1,one_direction_observed,no
贵州,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
贵州,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
贵州,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
贵州,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
贵州,2023,,2550.0,,missing_not_zero,sum_verified_bilateral_actual_events,,guizhou_2023_chishui_payment,0.0,2550.0,,1,one_direction_observed,no
贵州,2024,,3000.0,,missing_not_zero,sum_verified_bilateral_actual_events,,guizhou_2024_chishui_decision,0.0,3000.0,,1,one_direction_observed,no
